Naive Bayes,Árvore,Random Forest,Regras,kNN,Logística,SVM,RNA
8,7,1,2,3,6,5,4
8,7,1,2,3,5,6,4
8,7,1,2,3,4,5,6
8,7,1,2,3,4,6,5
8,7,1,2,3,4,6,5
8,7,2,1,3,5,4,6
8,7,1,2,3,4,5,6
8,7,1,2,3,5,6,4
8,7,1,2,3,5,6,4
8,7,1,2,3,4,5,6
8,7,1,2,3,6,5,4
8,7,1,2,3,4,5,6
8,7,1,2,3,4,6,5
8,7,1,2,3,5,4,6
8,7,1,2,3,6,4,5
8,7,1,2,3,4,5,6
8,7,1,2,3,6,5,4
8,6,1,2,3,7,5,4
8,7,2,1,3,5,6,4
8,7,1,2,3,5,4,6
8,7,1,2,3,5,6,4
8,7,1,2,3,4,6,5
8,7,1,2,3,6,5,4
8,7,1,2,3,4,6,5
8,7,1,2,3,4,5,6
8,7,1,2,3,6,4,5
8,7,1,2,3,5,4,6
8,7,1,2,3,4,5,6
8,7,1,2,3,6,5,4
8,7,1,2,3,5,4,6
